fixture_id,date,league_id,league_name,home_team,away_team,total_score,score_h2h,score_form,score_poisson,score_timing,score_ai,model_prob,model_odds,zero_zero_warning,is_recommended,h2h_rate,h2h_total,h2h_ht_goal,h2h_ht_zero,att_avg,ht_expected,actual_ht_home,actual_ht_away,actual_ht_goals,actual_ht_has_goal,real_opening_odds,real_closing_odds,clv_value
1379257,2026-03-05,39,英超,Tottenham,Crystal Palace,42.1,14.4,7.7,3.3,6.7,10,61.9,1.62,False,False,60.0,10,6,4,39.5,0.5,1,3,4,1,,,
1379261,2026-03-14,39,英超,Burnley,Bournemouth,47.3,12.0,8.7,3.3,13.3,10,62.7,1.59,False,False,60.0,10,6,4,42.5,0.5,0,0,0,0,,,
1379267,2026-03-14,39,英超,Sunderland,Brighton,19.1,0.0,7.0,2.1,0,10,28.1,3.56,True,False,0.0,3,0,3,27.0,0.32,0,0,0,0,,,
1379259,2026-03-14,39,英超,Arsenal,Everton,54.4,12.0,13.7,5.4,13.3,10,72.5,1.38,False,False,60.0,10,6,4,75.0,0.81,0,0,0,0,,,
1379262,2026-03-14,39,英超,Chelsea,Newcastle,63.5,20.0,13.5,6.0,14.0,10,95.0,1.05,False,False,100.0,10,10,0,83.5,0.9,0,1,1,1,,,
1379268,2026-03-14,39,英超,West Ham,Manchester City,61.8,19.2,14.5,4.8,13.3,10,91.3,1.1,False,False,90.0,10,9,1,87.5,0.72,1,1,2,1,,,
1379265,2026-03-15,39,英超,Manchester United,Aston Villa,48.9,9.6,12.7,3.3,13.3,10,75.0,1.33,False,False,60.0,10,6,4,83.5,0.5,0,0,0,0,,,
1379263,2026-03-15,39,英超,Crystal Palace,Leeds,53.5,12.0,14.0,4.2,13.3,10,80.0,1.25,False,False,60.0,10,6,4,100.0,0.63,0,0,0,0,,,
1379266,2026-03-15,39,英超,Nottingham Forest,Fulham,48.3,13.6,11.7,3.0,10.0,10,85.0,1.18,False,False,80.0,10,8,2,83.5,0.45,0,0,0,0,,,
1379264,2026-03-15,39,英超,Liverpool,Tottenham,53.9,13.6,11.4,3.9,15.0,10,83.5,1.2,False,False,80.0,10,8,2,78.5,0.59,1,0,1,1,,,
1379260,2026-03-16,39,英超,Brentford,Wolves,54.0,16.0,13.8,4.2,10.0,10,86.2,1.16,False,False,80.0,10,8,2,87.5,0.63,2,1,3,1,,,
1379270,2026-03-20,39,英超,Bournemouth,Manchester United,50.6,16.8,11.6,3.3,8.9,10,81.5,1.23,False,False,90.0,10,9,1,55.0,0.5,0,0,0,0,,,
1379271,2026-03-21,39,英超,Brighton,Liverpool,56.4,18.4,11.3,4.2,12.5,10,75.0,1.33,False,False,80.0,10,8,2,50.0,0.63,1,1,2,1,,,
1379273,2026-03-21,39,英超,Fulham,Burnley,52.5,12.8,9.0,3.6,17.1,10,68.8,1.45,False,False,70.0,10,7,3,46.0,0.54,0,0,0,0,,,
1379272,2026-03-21,39,英超,Everton,Chelsea,45.1,13.6,9.3,4.2,8.0,10,57.3,1.75,False,False,50.0,10,5,5,41.0,0.63,1,0,1,1,,,
1379274,2026-03-21,39,英超,Leeds,Brentford,36.4,5.6,7.8,3.0,10.0,10,48.4,2.07,True,False,40.0,10,4,6,28.0,0.45,0,0,0,0,,,
1379276,2026-03-22,39,英超,Newcastle,Sunderland,40.5,16.0,8.7,3.3,2.5,10,71.7,1.39,False,False,80.0,10,8,2,39.0,0.5,1,0,1,1,,,
1379277,2026-03-22,39,英超,Tottenham,Nottingham Forest,44.7,18.4,6.4,2.4,7.5,10,69.2,1.45,False,False,80.0,10,8,2,30.5,0.36,0,1,1,1,,,
1379269,2026-03-22,39,英超,Aston Villa,West Ham,45.5,18.4,6.9,2.7,7.5,10,70.3,1.42,False,False,80.0,10,8,2,34.5,0.41,1,0,1,1,,,
1379288,2026-04-10,39,英超,West Ham,Wolves,46.9,16.0,9.8,3.6,7.5,10,76.4,1.31,False,False,80.0,10,8,2,54.5,0.54,1,0,1,1,,,
1379279,2026-04-11,39,英超,Arsenal,Bournemouth,54.6,16.8,12.5,4.2,11.1,10,82.5,1.21,False,False,90.0,10,9,1,58.5,0.63,1,1,2,1,,,
1379281,2026-04-11,39,英超,Burnley,Brighton,43.5,15.2,9.0,3.6,5.7,10,67.0,1.49,False,False,70.0,10,7,3,40.0,0.54,0,1,1,1,,,
1379280,2026-04-11,39,英超,Brentford,Everton,45.4,13.6,10.1,4.2,7.5,10,74.0,1.35,False,False,80.0,10,8,2,46.5,0.63,1,1,2,1,,,
1379284,2026-04-11,39,英超,Liverpool,Fulham,54.4,20.0,11.3,5.1,8.0,10,85.9,1.16,False,False,100.0,10,10,0,53.0,0.77,2,0,2,1,,,
1379283,2026-04-12,39,英超,Crystal Palace,Newcastle,42.0,8.0,9.8,4.2,10.0,10,54.1,1.85,False,False,40.0,10,4,6,47.0,0.63,0,1,1,1,,,
1379286,2026-04-12,39,英超,Nottingham Forest,Aston Villa,47.2,12.5,8.1,3.3,13.3,10,64.3,1.56,False,False,66.7,9,6,3,36.5,0.5,1,1,2,1,,,
1379287,2026-04-12,39,英超,Sunderland,Tottenham,40.4,9.6,6.4,2.7,16.7,5,59.0,1.69,False,False,60.0,10,6,4,30.0,0.41,0,0,0,0,,,
1379282,2026-04-12,39,英超,Chelsea,Manchester City,53.4,16.0,12.9,4.5,10.0,10,82.5,1.21,False,False,80.0,10,8,2,75.0,0.68,0,0,0,0,,,
1379285,2026-04-13,39,英超,Manchester United,Leeds,41.3,6.4,9.9,3.0,12.0,10,58.7,1.71,False,False,50.0,10,5,5,45.5,0.45,0,2,2,1,,,
