tournament,source,team,team_slug,player_id,squad_number,position,first_name,last_name,full_name,shirt_name,birth_date,club,height_cm,head_coach,is_final_26,is_official_fifa,observation_only,betting_recommendation,affects_v4
FIFA World Cup 2026,FIFA official final 26 squad docx,Algeria,algeria,wc2026_algeria_01_mastil_melvin,1,GK,Melvin Feycal,MASTIL,MASTIL Melvin,MASTIL,2000-02-19,FC Stade Nyonnais (SUI),194,PETKOVIC Vladimir,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Algeria,algeria,wc2026_algeria_02_mandi_aissa,2,DF,Aissa,MANDI,MANDI Aissa,MANDI,1991-10-22,Lille OSC (FRA),184,PETKOVIC Vladimir,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Algeria,algeria,wc2026_algeria_03_abada_achraf,3,DF,Achraf,ABADA,ABADA Achraf,ABADA,1999-06-15,USM Alger (ALG),185,PETKOVIC Vladimir,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Algeria,algeria,wc2026_algeria_04_tougai_mohamed_amine,4,DF,Mohamed Amine,TOUGAI,TOUGAI Mohamed Amine,TOUGAI,2000-01-22,Espérance De Tunisie (TUN),186,PETKOVIC Vladimir,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Algeria,algeria,wc2026_algeria_05_belaid_zineddine,5,DF,Zineddine,BELAÏD,BELAID Zineddine,BELAID,1999-03-20,JS Kabylie (ALG),186,PETKOVIC Vladimir,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Algeria,algeria,wc2026_algeria_06_zerrouki_ramiz,6,MF,Ramiz Larbi,ZERROUKI,ZERROUKI Ramiz,ZERROUKI,1998-05-26,FC Twente (NED),183,PETKOVIC Vladimir,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Algeria,algeria,wc2026_algeria_07_mahrez_riyad,7,FW,Riyad Karim,MAHREZ,MAHREZ Riyad,MAHREZ,1991-02-21,Al Ahli FC (KSA),179,PETKOVIC Vladimir,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Algeria,algeria,wc2026_algeria_08_aouar_houssem,8,MF,Houssem-Eddine Chaabane,AOUAR,AOUAR Houssem,AOUAR,1998-06-30,Al Ittihad (KSA),175,PETKOVIC Vladimir,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Algeria,algeria,wc2026_algeria_09_gouiri_amine,9,FW,Amine Ferid,GHOUIRI,GOUIRI Amine,GOUIRI,2000-02-16,Olympique Marseille (FRA),180,PETKOVIC Vladimir,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Algeria,algeria,wc2026_algeria_10_chaibi_fares,10,MF,Fares,CHAIBI,CHAIBI Fares,CHAIBI,2002-11-28,Eintracht Frankfurt (GER),183,PETKOVIC Vladimir,True,True,True,False,False
