match_card_id,group,round,home_team,away_team,api_football_fixture_id,venue_name,venue_slug,source_url_or_file,source_note,confidence,reviewer,reviewed_at
mt_370102627,J,3,Algeria,Austria,1489418,,,,,,,
mt_028389140,J,3,Jordan,Argentina,1489421,,,,,,,
mt_370102675,K,3,Congo DR,Uzbekistan,1539013,,,,,,,
mt_641915285,K,3,Colombia,Portugal,1489419,,,,,,,
mt_641915103,L,3,Panama,England,1489422,,,,,,,
mt_028389889,L,3,Croatia,Ghana,1489420,,,,,,,
mt_894046969,G,3,Egypt,IR Iran,1489414,,,,,,,
mt_986264824,G,3,New Zealand,Belgium,1489415,,,,,,,
mt_209798011,H,3,Uruguay,Spain,1489417,,,,,,,
mt_517473114,H,3,Cabo Verde,Saudi Arabia,1489413,,,,,,,
mt_209798033,I,3,Senegal,Iraq,1539074,,,,,,,
mt_370102505,I,3,Norway,France,1489416,,,,,,,
mt_209798660,D,3,Paraguay,Australia,1489411,,,,,,,
mt_370102873,D,3,Türkiye,USA,1539012,,,,,,,
mt_517473422,F,3,Tunisia,Netherlands,1489412,,,,,,,
mt_986264218,F,3,Japan,Sweden,1539011,,,,,,,
mt_894046563,E,3,Curaçao,Côte D'Ivoire,1489409,,,,,,,
mt_370102820,E,3,Ecuador,Germany,1489410,,,,,,,
mt_028389197,A,3,South Africa,Korea Republic,1489407,,,,,,,
mt_986264714,A,3,Czechia,Mexico,1539010,,,,,,,
mt_028389482,C,3,Morocco,Haiti,1489405,,,,,,,
mt_209798693,C,3,Scotland,Brazil,1489406,,,,,,,
mt_732520309,B,3,Bosnia And Herzegovina,Qatar,1539009,,,,,,,
mt_209798077,B,3,Switzerland,Canada,1489408,,,,,,,
mt_517473884,K,2,Colombia,Congo DR,1539008,,,,,,,
mt_153636113,L,2,Panama,Croatia,1489403,,,,,,,
mt_986264630,L,2,England,Ghana,1489402,,,,,,,
mt_894046526,K,2,Portugal,Uzbekistan,1489404,,,,,,,
mt_153637966,J,2,Jordan,Algeria,1489400,,,,,,,
mt_153637911,I,2,Norway,Senegal,1489401,,,,,,,
mt_732520476,I,2,France,Iraq,1539017,,,,,,,
mt_986262946,J,2,Argentina,Austria,1489399,,,,,,,
mt_370102726,G,2,New Zealand,Egypt,1489396,,,,,,,
mt_153637559,H,2,Uruguay,Cabo Verde,1489398,,,,,,,
mt_732525756,G,2,Belgium,IR Iran,1489395,,,,,,,
mt_153637587,H,2,Spain,Saudi Arabia,1489397,,,,,,,
mt_517473411,F,2,Tunisia,Japan,1489394,,,,,,,
mt_641915358,E,2,Ecuador,Curaçao,1489392,,,,,,,
mt_465851784,E,2,Germany,Côte D'Ivoire,1489393,,,,,,,
mt_370102162,F,2,Netherlands,Sweden,1539007,,,,,,,
mt_732520931,D,2,Türkiye,Paraguay,1539006,,,,,,,
mt_641915383,C,2,Brazil,Haiti,1489389,,,,,,,
mt_732520916,C,2,Scotland,Morocco,1489390,,,,,,,
mt_894046538,D,2,USA,Australia,1489391,,,,,,,
mt_153636108,A,2,Mexico,Korea Republic,1489388,,,,,,,
mt_894046992,B,2,Canada,Qatar,1489387,,,,,,,
mt_641915446,B,2,Switzerland,Bosnia And Herzegovina,1539005,,,,,,,
mt_209798567,A,2,Czechia,South Africa,1539004,,,,,,,
mt_986264782,K,1,Uzbekistan,Colombia,1489386,,,,,,,
mt_370102032,L,1,Ghana,Panama,1489385,,,,,,,
mt_028383092,L,1,England,Croatia,1489384,,,,,,,
mt_732520442,K,1,Portugal,Congo DR,1539003,,,,,,,
mt_209798581,J,1,Austria,Jordan,1489382,,,,,,,
mt_028389471,J,1,Argentina,Algeria,1489381,,,,,,,
mt_517473168,I,1,Iraq,Norway,1539016,,,,,,,
mt_209797283,I,1,France,Senegal,1489383,,,,,,,
mt_986264843,G,1,IR Iran,New Zealand,1489378,,,,,,,
mt_209798066,H,1,Saudi Arabia,Uruguay,1489379,,,,,,,
mt_370102747,G,1,Belgium,Egypt,1489377,,,,,,,
mt_517473171,H,1,Spain,Cabo Verde,1489380,,,,,,,
mt_209798753,F,1,Sweden,Tunisia,1539002,,,,,,,
mt_028389435,E,1,Côte D'Ivoire,Ecuador,1489375,,,,,,,
mt_465851856,F,1,Netherlands,Japan,1489376,,,,,,,
mt_732520954,E,1,Germany,Curaçao,1489374,,,,,,,
mt_028389414,D,1,Australia,Türkiye,1539001,,,,,,,
mt_517473267,C,1,Haiti,Scotland,1489372,,,,,,,
mt_153637518,C,1,Brazil,Morocco,1489371,,,,,,,
mt_641919660,B,1,Qatar,Switzerland,1489373,,,,,,,
mt_517473281,D,1,USA,Paraguay,1489370,,,,,,,
mt_641915402,B,1,Canada,Bosnia And Herzegovina,1539000,,,,,,,
mt_153637955,A,1,Korea Republic,Czechia,1538999,,,,,,,
mt_153637999,A,1,Mexico,South Africa,1489369,,,,,,,
