market,context_filter,context_value,sample_count,settled_count,hit_count,hit_rate,avg_close_odds,roi_proxy_flat_1u,max_fail_streak,max_drawdown_proxy,confidence_flag,risk_flags,candidate_status,excluded_reason
ASIAN_HANDICAP,ah_home_close_implied_prob_bucket,0_40_0_49,7618,7618,3559,0.467183,1.94753,-0.025988,2,-199.335,HIGH_CONFIDENCE,STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,ROI_NOT_POSITIVE
ASIAN_HANDICAP,ah_home_close_implied_prob_bucket,0_50_0_59,18742,18742,8749,0.466813,1.944582,-0.024501,2,-460.84,HIGH_CONFIDENCE,STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,ROI_NOT_POSITIVE
ASIAN_HANDICAP,ah_home_close_implied_prob_bucket,GE_0_60,52,52,23,0.442308,1.931538,-0.009038,2,-3.02,SMALL_SAMPLE,SMALL_SAMPLE_EXCLUDED|STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,LOW_CONFIDENCE|ROI_NOT_POSITIVE|SMALL_SAMPLE
ASIAN_HANDICAP,ah_home_close_implied_prob_bucket,LT_0_40,4,4,2,0.5,2.8575,1.2625,1,-1.0,SMALL_SAMPLE,SINGLE_CLUSTER_RISK|SMALL_SAMPLE_EXCLUDED|STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,LOW_CONFIDENCE|SINGLE_CLUSTER_RISK|SMALL_SAMPLE
ASIAN_HANDICAP,ah_home_close_implied_prob_bucket,PROB_MISSING,2,2,1,0.5,0.0,-0.5,2,-1.0,SMALL_SAMPLE,SINGLE_CLUSTER_RISK|SMALL_SAMPLE_EXCLUDED|STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,LOW_CONFIDENCE|ROI_NOT_POSITIVE|SINGLE_CLUSTER_RISK|SMALL_SAMPLE
ASIAN_HANDICAP,ah_move_direction,LONGER_CLOSE,12740,12740,5829,0.457535,2.003097,-0.014199,12,-210.755,HIGH_CONFIDENCE,STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,ROI_NOT_POSITIVE
ASIAN_HANDICAP,ah_move_direction,SHORTER_CLOSE,12375,12375,5883,0.475394,1.885958,-0.035013,9,-437.8,HIGH_CONFIDENCE,STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,ROI_NOT_POSITIVE
ASIAN_HANDICAP,ah_move_direction,STABLE,1303,1303,622,0.47736,1.945756,-0.030242,5,-40.305,HIGH_CONFIDENCE,STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,ROI_NOT_POSITIVE
ASIAN_HANDICAP,asian_handicap_line_bucket,AH_0,3066,3066,1085,0.353881,1.947583,-0.020659,2,-65.0,HIGH_CONFIDENCE,STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,ROI_NOT_POSITIVE
ASIAN_HANDICAP,asian_handicap_line_bucket,AH_0_25,7234,7234,3617,0.5,1.944519,-0.025834,3,-188.88,HIGH_CONFIDENCE,STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,ROI_NOT_POSITIVE
ASIAN_HANDICAP,asian_handicap_line_bucket,AH_0_50,4628,4628,2314,0.5,1.946363,-0.027692,2,-129.69,HIGH_CONFIDENCE,STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,ROI_NOT_POSITIVE
ASIAN_HANDICAP,asian_handicap_line_bucket,AH_0_75,3526,3526,1763,0.5,1.946608,-0.024315,2,-87.285,HIGH_CONFIDENCE,STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,ROI_NOT_POSITIVE
ASIAN_HANDICAP,asian_handicap_line_bucket,AH_1_00,2490,2490,896,0.359839,1.943016,-0.021016,2,-54.08,HIGH_CONFIDENCE,STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,ROI_NOT_POSITIVE
ASIAN_HANDICAP,asian_handicap_line_bucket,AH_1_25_1_50,3358,3358,1679,0.5,1.944586,-0.025473,2,-87.085,HIGH_CONFIDENCE,STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,ROI_NOT_POSITIVE
ASIAN_HANDICAP,asian_handicap_line_bucket,AH_GT_1_50,2116,2116,980,0.463138,1.945194,-0.024388,2,-53.215,HIGH_CONFIDENCE,STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,ROI_NOT_POSITIVE
ASIAN_HANDICAP,home_away_side,AWAY,13209,13209,6311,0.47778,1.951807,-0.008127,12,-148.35,HIGH_CONFIDENCE,STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,ROI_NOT_POSITIVE
ASIAN_HANDICAP,home_away_side,HOME,13209,13209,6023,0.455977,1.938988,-0.041354,12,-570.85,HIGH_CONFIDENCE,STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,ROI_NOT_POSITIVE
ASIAN_HANDICAP,league_code,B1,2630,2630,1221,0.464259,1.924395,-0.032876,2,-88.165,HIGH_CONFIDENCE,SINGLE_CLUSTER_RISK|STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,ROI_NOT_POSITIVE|SINGLE_CLUSTER_RISK
ASIAN_HANDICAP,league_code,D1,2608,2608,1242,0.476227,1.9539,-0.025763,2,-69.15,HIGH_CONFIDENCE,SINGLE_CLUSTER_RISK|STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,ROI_NOT_POSITIVE|SINGLE_CLUSTER_RISK
ASIAN_HANDICAP,league_code,E0,3292,3292,1542,0.468408,1.953341,-0.021826,2,-73.905,HIGH_CONFIDENCE,SINGLE_CLUSTER_RISK|STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,ROI_NOT_POSITIVE|SINGLE_CLUSTER_RISK
ASIAN_HANDICAP,league_code,F1,3020,3020,1406,0.465563,1.953172,-0.020293,2,-63.185,HIGH_CONFIDENCE,SINGLE_CLUSTER_RISK|STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,ROI_NOT_POSITIVE|SINGLE_CLUSTER_RISK
ASIAN_HANDICAP,league_code,I1,3294,3294,1539,0.467213,1.953628,-0.021094,2,-71.44,HIGH_CONFIDENCE,SINGLE_CLUSTER_RISK|STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,ROI_NOT_POSITIVE|SINGLE_CLUSTER_RISK
ASIAN_HANDICAP,league_code,N1,2584,2584,1209,0.467879,1.945762,-0.021869,2,-58.275,HIGH_CONFIDENCE,SINGLE_CLUSTER_RISK|STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,ROI_NOT_POSITIVE|SINGLE_CLUSTER_RISK
ASIAN_HANDICAP,league_code,P1,2606,2606,1212,0.465081,1.944781,-0.02476,2,-66.205,HIGH_CONFIDENCE,SINGLE_CLUSTER_RISK|STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,ROI_NOT_POSITIVE|SINGLE_CLUSTER_RISK
ASIAN_HANDICAP,league_code,SP1,3284,3284,1514,0.461023,1.953618,-0.020996,2,-70.435,HIGH_CONFIDENCE,SINGLE_CLUSTER_RISK|STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,ROI_NOT_POSITIVE|SINGLE_CLUSTER_RISK
ASIAN_HANDICAP,league_code,T1,3100,3100,1449,0.467419,1.922813,-0.034623,2,-109.25,HIGH_CONFIDENCE,SINGLE_CLUSTER_RISK|STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,ROI_NOT_POSITIVE|SINGLE_CLUSTER_RISK
ASIAN_HANDICAP,points_gap_bucket,AWAY_PLUS_10,6128,6128,2860,0.46671,1.945005,-0.024328,2,-150.73,HIGH_CONFIDENCE,STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,ROI_NOT_POSITIVE
ASIAN_HANDICAP,points_gap_bucket,AWAY_PLUS_4_9,4274,4274,1971,0.461161,1.945971,-0.024031,2,-104.61,HIGH_CONFIDENCE,STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,ROI_NOT_POSITIVE
ASIAN_HANDICAP,points_gap_bucket,BALANCED_-3_3,6102,6102,2849,0.466896,1.944992,-0.026274,3,-161.875,HIGH_CONFIDENCE,STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,ROI_NOT_POSITIVE
ASIAN_HANDICAP,points_gap_bucket,HOME_PLUS_10,5942,5942,2775,0.467014,1.945429,-0.024269,2,-145.795,HIGH_CONFIDENCE,STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,ROI_NOT_POSITIVE
ASIAN_HANDICAP,points_gap_bucket,HOME_PLUS_4_9,3972,3972,1879,0.473061,1.945962,-0.024489,2,-98.645,HIGH_CONFIDENCE,STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,ROI_NOT_POSITIVE
ASIAN_HANDICAP,rank_gap_bucket,AWAY_RANK_PLUS_10,3182,3182,1488,0.46763,1.944485,-0.025415,2,-82.845,HIGH_CONFIDENCE,STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,ROI_NOT_POSITIVE
ASIAN_HANDICAP,rank_gap_bucket,AWAY_RANK_PLUS_4_9,5606,5606,2627,0.468605,1.946231,-0.024031,2,-136.18,HIGH_CONFIDENCE,STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,ROI_NOT_POSITIVE
ASIAN_HANDICAP,rank_gap_bucket,BALANCED_-3_3,8368,8368,3911,0.467376,1.94531,-0.025172,2,-211.97,HIGH_CONFIDENCE,STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,ROI_NOT_POSITIVE
ASIAN_HANDICAP,rank_gap_bucket,HOME_RANK_PLUS_10,3264,3264,1516,0.464461,1.944329,-0.024338,2,-81.16,HIGH_CONFIDENCE,STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,ROI_NOT_POSITIVE
ASIAN_HANDICAP,rank_gap_bucket,HOME_RANK_PLUS_4_9,5998,5998,2792,0.465488,1.945807,-0.024662,2,-149.73,HIGH_CONFIDENCE,STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,ROI_NOT_POSITIVE
ASIAN_HANDICAP,recent_5_points_gap_bucket,AWAY_RECENT_PLUS_2_5,6756,6756,3157,0.467288,1.94516,-0.02582,2,-176.37,HIGH_CONFIDENCE,STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,ROI_NOT_POSITIVE
ASIAN_HANDICAP,recent_5_points_gap_bucket,AWAY_RECENT_PLUS_6,3622,3622,1669,0.460795,1.944641,-0.023817,2,-87.985,HIGH_CONFIDENCE,STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,ROI_NOT_POSITIVE
ASIAN_HANDICAP,recent_5_points_gap_bucket,BALANCED_-1_1,6374,6374,2976,0.466897,1.945795,-0.024929,2,-160.58,HIGH_CONFIDENCE,STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,ROI_NOT_POSITIVE
ASIAN_HANDICAP,recent_5_points_gap_bucket,HOME_RECENT_PLUS_2_5,6378,6378,3007,0.471464,1.945657,-0.024534,2,-158.13,HIGH_CONFIDENCE,STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,ROI_NOT_POSITIVE
ASIAN_HANDICAP,recent_5_points_gap_bucket,HOME_RECENT_PLUS_6,3288,3288,1525,0.463808,1.945444,-0.023572,2,-79.23,HIGH_CONFIDENCE,STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,ROI_NOT_POSITIVE
ASIAN_HANDICAP,season,2020/21,5420,5420,2514,0.463838,1.947935,-0.022037,2,-120.73,HIGH_CONFIDENCE,SINGLE_CLUSTER_RISK|STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,ROI_NOT_POSITIVE|SINGLE_CLUSTER_RISK
ASIAN_HANDICAP,season,2021/22,5362,5362,2491,0.464565,1.942756,-0.025241,2,-137.085,HIGH_CONFIDENCE,SINGLE_CLUSTER_RISK|STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,ROI_NOT_POSITIVE|SINGLE_CLUSTER_RISK
ASIAN_HANDICAP,season,2022/23,5234,5234,2453,0.468666,1.945707,-0.026745,2,-141.455,HIGH_CONFIDENCE,SINGLE_CLUSTER_RISK|STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,ROI_NOT_POSITIVE|SINGLE_CLUSTER_RISK
ASIAN_HANDICAP,season,2023/24,5238,5238,2453,0.468309,1.946913,-0.023794,2,-126.265,HIGH_CONFIDENCE,SINGLE_CLUSTER_RISK|STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,ROI_NOT_POSITIVE|SINGLE_CLUSTER_RISK
ASIAN_HANDICAP,season,2024/25,5164,5164,2423,0.46921,1.943625,-0.025986,2,-136.18,HIGH_CONFIDENCE,SINGLE_CLUSTER_RISK|STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,ROI_NOT_POSITIVE|SINGLE_CLUSTER_RISK
FT_OVER25,league_code,B1,1320,1320,750,0.568182,1.723076,-0.039773,7,-67.89,HIGH_CONFIDENCE,SINGLE_CLUSTER_RISK|STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,ROI_NOT_POSITIVE|SINGLE_CLUSTER_RISK
FT_OVER25,league_code,D1,1305,1305,782,0.599234,1.674958,-0.027211,6,-46.37,HIGH_CONFIDENCE,SINGLE_CLUSTER_RISK|STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,ROI_NOT_POSITIVE|SINGLE_CLUSTER_RISK
FT_OVER25,league_code,E0,1646,1646,914,0.555286,1.780529,-0.033463,9,-61.66,HIGH_CONFIDENCE,SINGLE_CLUSTER_RISK|STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,ROI_NOT_POSITIVE|SINGLE_CLUSTER_RISK
FT_OVER25,league_code,F1,1507,1507,808,0.536165,1.876191,-0.020219,11,-53.07,HIGH_CONFIDENCE,SINGLE_CLUSTER_RISK|STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,ROI_NOT_POSITIVE|SINGLE_CLUSTER_RISK
FT_OVER25,league_code,I1,1647,1647,826,0.501518,1.910595,-0.071378,8,-126.87,HIGH_CONFIDENCE,SINGLE_CLUSTER_RISK|STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,ROI_NOT_POSITIVE|SINGLE_CLUSTER_RISK
FT_OVER25,league_code,N1,1295,1295,753,0.581467,1.667691,-0.054263,8,-78.02,HIGH_CONFIDENCE,SINGLE_CLUSTER_RISK|STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,ROI_NOT_POSITIVE|SINGLE_CLUSTER_RISK
FT_OVER25,league_code,P1,1304,1304,642,0.492331,1.996204,-0.054601,7,-84.88,HIGH_CONFIDENCE,SINGLE_CLUSTER_RISK|STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,ROI_NOT_POSITIVE|SINGLE_CLUSTER_RISK
FT_OVER25,league_code,SP1,1643,1643,760,0.462568,2.129014,-0.06059,10,-106.67,HIGH_CONFIDENCE,SINGLE_CLUSTER_RISK|STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,ROI_NOT_POSITIVE|SINGLE_CLUSTER_RISK
FT_OVER25,league_code,T1,1570,1570,867,0.552229,1.797605,-0.03035,8,-54.25,HIGH_CONFIDENCE,SINGLE_CLUSTER_RISK|STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,ROI_NOT_POSITIVE|SINGLE_CLUSTER_RISK
FT_OVER25,odds_over25_move_direction,LONGER_CLOSE,5696,5696,2844,0.499298,1.980915,-0.041318,13,-248.33,HIGH_CONFIDENCE,STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,ROI_NOT_POSITIVE
FT_OVER25,odds_over25_move_direction,SHORTER_CLOSE,5121,5121,2974,0.580746,1.703493,-0.03819,10,-210.5,HIGH_CONFIDENCE,STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,ROI_NOT_POSITIVE
FT_OVER25,odds_over25_move_direction,STABLE,2420,2420,1284,0.530579,1.835223,-0.061517,9,-152.02,HIGH_CONFIDENCE,STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,ROI_NOT_POSITIVE
FT_OVER25,over25_close_implied_prob_bucket,0_40_0_49,3395,3395,1462,0.430633,2.191408,-0.059473,11,-212.32,HIGH_CONFIDENCE,STRICT_FILTER_RESEARCH_ONLY,EXCLUDED,ROI_NOT_POSITIVE
