source,league_code,league_name,season,date,home_team,away_team,full_time_home_goals,full_time_away_goals,full_time_result,half_time_home_goals,half_time_away_goals,half_time_result,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,odds_1x2_home_open,odds_1x2_draw_open,odds_1x2_away_open,odds_1x2_home_close,odds_1x2_draw_close,odds_1x2_away_close,odds_over25_open,odds_under25_open,odds_over25_close,odds_under25_close,asian_handicap_line,asian_handicap_home_open,asian_handicap_away_open,asian_handicap_home_close,asian_handicap_away_close,data_quality_flags
football-data.co.uk,B1,Belgian Pro League,2020/21,2020-08-08,Club Brugge,Charleroi,0,1,A,0,0,D,17,6,5,4,10,2,2,3,0,0,1.5,3.8,6,1.57,3.75,5.25,1.95,1.85,2.05,1.75,-0.75,1.95,1.9,1.77,2.1,AH_LINE_MOVED_BETWEEN_OPEN_CLOSE
football-data.co.uk,B1,Belgian Pro League,2020/21,2020-08-08,Antwerp,Mouscron,1,1,D,0,0,D,12,4,9,2,7,3,2,1,0,0,1.3,5,10,1.44,4.2,6,1.66,2.15,1.7,2.1,-1,2,1.85,1.83,2.02,AH_LINE_MOVED_BETWEEN_OPEN_CLOSE
football-data.co.uk,B1,Belgian Pro League,2020/21,2020-08-08,Standard,Cercle Brugge,1,0,H,0,0,D,11,6,8,1,5,4,1,1,0,0,1.4,4.5,6.5,1.45,4.5,6.5,1.7,2.1,1.72,2.07,-1,2,1.85,1.85,2,AH_LINE_MOVED_BETWEEN_OPEN_CLOSE
football-data.co.uk,B1,Belgian Pro League,2020/21,2020-08-09,St Truiden,Gent,2,1,H,1,1,D,11,13,8,2,6,3,2,2,0,0,4.5,3.8,1.65,5.5,4,1.6,1.53,2.4,1.75,2.05,0.75,1.93,1.93,2.05,1.8,COMPLETE_FOR_REPLAY_SCHEMA
football-data.co.uk,B1,Belgian Pro League,2020/21,2020-08-09,Waregem,Genk,1,2,A,1,0,H,8,15,6,4,9,8,3,1,0,0,3.75,3.6,1.9,3.8,4,1.8,1.5,2.5,1.53,2.4,0.5,1.93,1.93,2.05,1.8,COMPLETE_FOR_REPLAY_SCHEMA
football-data.co.uk,B1,Belgian Pro League,2020/21,2020-08-09,Mechelen,Anderlecht,2,2,D,0,0,D,10,7,4,2,2,7,3,3,0,0,4.5,3.5,1.8,3.4,3.4,2.1,1.75,2.05,1.8,2,0.25,1.98,1.88,1.88,1.98,AH_LINE_MOVED_BETWEEN_OPEN_CLOSE
football-data.co.uk,B1,Belgian Pro League,2020/21,2020-08-09,Kortrijk,Waasland-Beveren,1,3,A,0,1,A,11,8,4,6,4,1,2,4,0,0,1.6,3.8,4.75,1.53,4,5.75,1.65,2.2,1.72,2.07,-1,2.07,1.72,2.05,1.8,COMPLETE_FOR_REPLAY_SCHEMA
football-data.co.uk,B1,Belgian Pro League,2020/21,2020-08-10,Oud-Heverlee Leuven,Eupen,1,1,D,0,0,D,4,16,3,6,5,8,1,2,0,0,2.3,3.4,3,2.05,3.6,3.3,1.85,1.95,1.9,1.95,-0.5,2.05,1.8,2.02,1.83,AH_LINE_MOVED_BETWEEN_OPEN_CLOSE
football-data.co.uk,B1,Belgian Pro League,2020/21,2020-08-10,Oostende,Beerschot VA,1,2,A,0,1,A,6,6,2,5,12,7,3,2,0,0,2.3,3.4,3,2.8,3.5,2.37,1.8,2,1.88,1.98,0.25,2,1.85,1.77,2.1,AH_LINE_MOVED_BETWEEN_OPEN_CLOSE
football-data.co.uk,B1,Belgian Pro League,2020/21,2020-08-14,Mouscron,Mechelen,0,1,A,0,1,A,9,7,1,4,5,5,3,3,0,0,3.5,3.4,2.05,4,3.5,1.9,1.8,2,1.8,2,0.5,2.05,1.8,1.98,1.88,AH_LINE_MOVED_BETWEEN_OPEN_CLOSE
